gpstime,altitude,speed,heading,hpdop,vdop,pdop,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,lat
1411812243.00,126.6,0.072,177.0300,1.1,1.5,1.8,-0.017578,0.015625,0.0019531,-0.56641,0.042969,9.793,41.178008
1411812244.00,126.6,0.067,175.5600,1.1,1.5,1.8,-0.019531,0.015625,0.0019531,-0.61719,0.17578,9.9766,41.178008
1411812246.00,126.6,0.067,175.3600,1.1,1.5,1.8,-0.019531,0.015625,0.0019531,-0.62109,-0.089844,10.043,41.178008
1411812247.00,126.5,0.072,180.9800,1.1,1.5,1.8,-0.017578,0.015625,0.0019531,-0.63672,-0.085938,10.1406,41.178008
1411812248.00,126.6,0.087,183.9000,1.1,1.5,1.8,-0.019531,0.017578,0.0039063,-0.58203,0.12109,10.0469,41.178008
1411812249.00,126.6,0.051,163.2100,1.1,1.5,1.8,-0.013672,0.013672,0.0019531,-0.49219,0.035156,10.0898,41.178008
1411812251.00,126.8,0.077,181.7700,1.1,1.5,1.8,-0.017578,0.015625,0.0039063,-0.61719,-0.011719,9.8359,41.178007
1411812252.00,126.9,0.082,184.6100,1.1,1.5,1.8,-0.017578,0.015625,0.0039063,-0.68359,-0.054688,9.7695,41.178007
1411812253.00,127.0,0.057,174.1100,1.1,1.5,1.8,-0.017578,0.013672,0.0039063,-0.71094,0.12891,9.9492,41.178005
1411812254.00,127.0,0.026,186.6500,1.1,1.5,1.8,-0.017578,0.017578,0.0039063,-0.65625,0.14844,10.0703,41.178005
1411812255.00,127.2,0.010,160.9700,1.1,1.5,1.8,-0.013672,0.015625,0.0039063,-0.64844,-0.11328,10.1172,41.178005
1411812256.00,127.4,0.010,94.8300,1.1,1.5,1.8,-0.019531,0.015625,0.0019531,-0.60547,0.058594,10.1211,41.178005
1411812257.00,127.6,0.021,187.3100,1.1,1.5,1.8,-0.015625,0.015625,0.0039063,-0.5,0.015625,10.0117,41.178003
1411812258.00,128.3,0.093,180.2400,1.1,1.5,1.8,-0.017578,0.013672,0.0039063,-0.49219,-0.015625,9.9609,41.178000
1411812259.00,129.0,0.093,178.7200,1.1,1.5,1.8,-0.019531,0.017578,0.0039063,-0.55859,-0.046875,9.8477,41.177998
1411812261.00,130.4,0.108,180.6100,1.1,1.5,1.8,-0.015625,0.011719,0.0019531,-0.49219,-0.023438,9.8516,41.177992
1411812262.00,131.1,0.077,181.7600,1.1,1.5,1.8,-0.017578,0.015625,0.0019531,-0.49609,0.21484,10.0039,41.177988
1411812263.00,131.7,0.077,184.9000,1.1,1.5,1.8,-0.015625,0.017578,0.0039063,-0.44922,-0.097656,10.0898,41.177987
1411812264.00,132.3,0.087,181.9200,1.1,1.5,1.8,-0.015625,0.015625,0.0019531,-0.53906,-0.097656,10.2461,41.177985
1411812266.00,133.3,0.082,184.2400,1.1,1.5,1.8,-0.021484,0.017578,0.0039063,-0.49219,0.0,10.1133,41.177980
1411812267.00,133.7,0.082,180.3900,1.1,1.5,1.8,-0.013672,0.013672,0.0019531,-0.49219,-0.074219,9.9883,41.177980
1411812268.00,134.1,0.082,183.4700,1.1,1.5,1.8,-0.019531,0.017578,0.0019531,-0.54297,0.070313,9.8008,41.177978
1411812269.00,134.4,0.077,181.4800,1.1,1.5,1.8,-0.017578,0.015625,0.0019531,-0.58203,-0.046875,9.7734,41.177977
1411812271.00,134.8,0.077,179.5600,1.1,1.5,1.8,-0.015625,0.013672,0.0039063,-0.63281,0.125,9.9922,41.177977
1411812272.00,135.0,0.077,183.3300,1.1,1.5,1.8,-0.017578,0.017578,0.0039063,-0.60547,0.14063,10.0977,41.177975
1411812273.00,135.2,0.077,178.1000,1.1,1.5,1.8,-0.015625,0.015625,0.0019531,-0.62891,-0.15234,10.1914,41.177975
1411812274.00,135.2,0.072,176.5500,1.1,1.5,1.8,-0.019531,0.017578,0.0039063,-0.625,0.09375,10.0781,41.177975
1411812275.00,135.3,0.067,178.2000,1.1,1.5,1.8,-0.015625,0.013672,0.0019531,-0.59375,0.070313,9.9531,41.177975
1411812277.00,135.3,0.067,172.9400,1.1,1.5,1.8,-0.015625,0.013672,0.0039063,-0.60547,-0.042969,9.6719,41.177977
1411812278.00,135.2,0.062,172.5800,1.1,1.5,1.8,-0.019531,0.017578,0.0019531,-0.60156,0.046875,9.8633,41.177977
1411812279.00,135.2,0.062,172.2900,1.1,1.5,1.8,-0.015625,0.011719,0.0019531,-0.58203,0.19531,10.0391,41.177977
1411812281.00,135.0,0.062,170.8200,1.1,1.5,1.8,-0.019531,0.015625,0.0019531,-0.60547,-0.09375,10.0625,41.177978
1411812282.00,134.9,0.062,167.3800,1.1,1.5,1.8,-0.015625,0.015625,0.0019531,-0.56641,-0.035156,10.1563,41.177978
1411812283.00,134.9,0.062,166.2000,1.1,1.5,1.8,-0.019531,0.015625,0.0019531,-0.47656,0.039063,10.0547,41.177978
1411812284.00,134.8,0.057,166.6500,1.1,1.5,1.8,-0.021484,0.017578,0.0019531,-0.44141,-0.015625,10.0391,41.177980
1411812285.00,134.7,0.057,167.7900,1.1,1.5,1.8,-0.015625,0.013672,0.0019531,-0.46484,-0.0039063,9.8047,41.177980
1411812286.00,134.6,0.067,184.1800,1.1,1.5,1.8,-0.019531,0.017578,0.0019531,-0.47656,-0.0625,9.8242,41.177980
1411812287.00,134.5,0.062,179.1800,1.1,1.5,1.8,-0.017578,0.017578,0.0019531,-0.57031,0.10156,9.8555,41.177982
1411812288.00,134.4,0.062,192.9900,1.1,1.5,1.8,-0.015625,0.013672,0.0019531,-0.56641,0.070313,10.0625,41.177982
1411812289.00,134.3,0.062,189.5600,1.1,1.5,1.8,-0.017578,0.019531,0.0039063,-0.56641,-0.19922,10.1758,41.177982
1411812291.00,134.2,0.057,177.8300,1.1,1.5,1.8,-0.015625,0.013672,0.0039063,-0.57422,0.035156,10.1445,41.177983
1411812292.00,134.2,0.057,171.7100,1.1,1.5,1.8,-0.021484,0.017578,0.0019531,-0.50781,-0.019531,10.1289,41.177983
1411812293.00,134.2,0.051,182.4400,1.1,1.5,1.8,-0.015625,0.015625,0.0019531,-0.57813,-0.046875,9.9297,41.177983
1411812294.00,134.2,0.062,174.8900,1.1,1.5,1.8,-0.013672,0.013672,0.0019531,-0.61719,0.011719,9.7344,41.177985
1411812295.00,134.3,0.057,173.8700,1.1,1.5,1.8,-0.019531,0.017578,0.0039063,-0.64453,0.082031,9.9336,41.177985
1411812297.00,134.3,0.062,173.6500,1.1,1.5,1.8,-0.015625,0.013672,0.0039063,-0.69922,0.19922,10.0313,41.177985
1411812298.00,134.4,0.067,179.5100,1.1,1.5,1.8,-0.017578,0.015625,0.0019531,-0.65625,-0.0078125,10.1289,41.177985
1411812299.00,134.6,0.062,175.8200,1.1,1.5,1.8,-0.015625,0.015625,0.0019531,-0.61328,-0.0078125,10.0898,41.177985
1411812301.00,134.8,0.067,171.9300,1.1,1.5,1.8,-0.017578,0.017578,0.0039063,-0.58594,0.0078125,10.1016,41.177987
1411812302.00,134.9,0.062,189.9600,1.1,1.5,1.8,-0.019531,0.017578,0.0039063,-0.47656,0.035156,10.0781,41.177987
1411812303.00,135.0,0.067,189.8400,1.1,1.5,1.8,-0.013672,0.013672,0.0039063,-0.5,0.011719,9.7813,41.177987
1411812304.00,135.1,0.067,190.3300,1.1,1.5,1.8,-0.019531,0.019531,0.0039063,-0.57031,-0.027344,9.9063,41.177987
1411812306.00,135.3,0.062,161.0500,1.1,1.5,1.8,-0.015625,0.017578,0.0039063,-0.56641,0.14063,9.9805,41.177987
