systime, gpstime, latitude, longitude, altitude, speed, heading, hpdop, vdop, pdop
1411812238.70304, 1411812236.00, 41.178012, -8.598378, 126.3, 0.057, 165.1200, 1.1, 1.5, 1.8
1411812239.71035, 1411812237.00, 41.178010, -8.598380, 126.5, 0.093, 188.3800, 1.1, 1.5, 1.8
1411812240.71173, 1411812238.00, 41.178012, -8.598380, 126.3, 0.062, 154.4100, 1.1, 1.5, 1.8
1411812241.71548, 1411812239.00, 41.178012, -8.598380, 126.2, 0.087, 189.2700, 1.1, 1.5, 1.8
1411812243.70346, 1411812241.00, 41.178010, -8.598382, 126.5, 0.062, 166.5500, 1.1, 1.5, 1.8
1411812244.72987, 1411812242.00, 41.178010, -8.598382, 126.6, 0.077, 186.3100, 1.1, 1.5, 1.8
1411812245.72904, 1411812243.00, 41.178008, -8.598382, 126.6, 0.072, 177.0300, 1.1, 1.5, 1.8
1411812246.67594, 1411812244.00, 41.178008, -8.598383, 126.6, 0.067, 175.5600, 1.1, 1.5, 1.8
1411812248.75334, 1411812246.00, 41.178008, -8.598383, 126.6, 0.067, 175.3600, 1.1, 1.5, 1.8
1411812249.75790, 1411812247.00, 41.178008, -8.598383, 126.5, 0.072, 180.9800, 1.1, 1.5, 1.8
1411812250.69756, 1411812248.00, 41.178008, -8.598385, 126.6, 0.087, 183.9000, 1.1, 1.5, 1.8
1411812251.73719, 1411812249.00, 41.178008, -8.598385, 126.6, 0.051, 163.2100, 1.1, 1.5, 1.8
1411812253.72197, 1411812251.00, 41.178007, -8.598387, 126.8, 0.077, 181.7700, 1.1, 1.5, 1.8
1411812254.68022, 1411812252.00, 41.178007, -8.598387, 126.9, 0.082, 184.6100, 1.1, 1.5, 1.8
1411812255.70294, 1411812253.00, 41.178005, -8.598388, 127.0, 0.057, 174.1100, 1.1, 1.5, 1.8
1411812256.70760, 1411812254.00, 41.178005, -8.598390, 127.0, 0.026, 186.6500, 1.1, 1.5, 1.8
1411812258.06746, 1411812255.00, 41.178005, -8.598390, 127.2, 0.010, 160.9700, 1.1, 1.5, 1.8
1411812258.69345, 1411812256.00, 41.178005, -8.598392, 127.4, 0.010, 94.8300, 1.1, 1.5, 1.8
1411812259.70704, 1411812257.00, 41.178003, -8.598393, 127.6, 0.021, 187.3100, 1.1, 1.5, 1.8
1411812260.74469, 1411812258.00, 41.178000, -8.598397, 128.3, 0.093, 180.2400, 1.1, 1.5, 1.8
1411812261.70763, 1411812259.00, 41.177998, -8.598400, 129.0, 0.093, 178.7200, 1.1, 1.5, 1.8
1411812263.72557, 1411812261.00, 41.177992, -8.598407, 130.4, 0.108, 180.6100, 1.1, 1.5, 1.8
1411812264.71231, 1411812262.00, 41.177988, -8.598410, 131.1, 0.077, 181.7600, 1.1, 1.5, 1.8
1411812265.69008, 1411812263.00, 41.177987, -8.598412, 131.7, 0.077, 184.9000, 1.1, 1.5, 1.8
1411812266.74581, 1411812264.00, 41.177985, -8.598415, 132.3, 0.087, 181.9200, 1.1, 1.5, 1.8
1411812268.69366, 1411812266.00, 41.177980, -8.598420, 133.3, 0.082, 184.2400, 1.1, 1.5, 1.8
1411812269.68858, 1411812267.00, 41.177980, -8.598422, 133.7, 0.082, 180.3900, 1.1, 1.5, 1.8
1411812270.70792, 1411812268.00, 41.177978, -8.598423, 134.1, 0.082, 183.4700, 1.1, 1.5, 1.8
1411812271.73208, 1411812269.00, 41.177977, -8.598425, 134.4, 0.077, 181.4800, 1.1, 1.5, 1.8
1411812273.71651, 1411812271.00, 41.177977, -8.598427, 134.8, 0.077, 179.5600, 1.1, 1.5, 1.8
1411812274.70827, 1411812272.00, 41.177975, -8.598428, 135.0, 0.077, 183.3300, 1.1, 1.5, 1.8
1411812275.73625, 1411812273.00, 41.177975, -8.598428, 135.2, 0.077, 178.1000, 1.1, 1.5, 1.8
1411812276.73201, 1411812274.00, 41.177975, -8.598428, 135.2, 0.072, 176.5500, 1.1, 1.5, 1.8
1411812278.65064, 1411812275.00, 41.177975, -8.598428, 135.3, 0.067, 178.2000, 1.1, 1.5, 1.8
1411812279.69527, 1411812277.00, 41.177977, -8.598430, 135.3, 0.067, 172.9400, 1.1, 1.5, 1.8
1411812280.72733, 1411812278.00, 41.177977, -8.598430, 135.2, 0.062, 172.5800, 1.1, 1.5, 1.8
1411812281.69800, 1411812279.00, 41.177977, -8.598430, 135.2, 0.062, 172.2900, 1.1, 1.5, 1.8
1411812283.72178, 1411812281.00, 41.177978, -8.598428, 135.0, 0.062, 170.8200, 1.1, 1.5, 1.8
1411812284.71557, 1411812282.00, 41.177978, -8.598428, 134.9, 0.062, 167.3800, 1.1, 1.5, 1.8
1411812285.74705, 1411812283.00, 41.177978, -8.598428, 134.9, 0.062, 166.2000, 1.1, 1.5, 1.8
1411812286.76671, 1411812284.00, 41.177980, -8.598428, 134.8, 0.057, 166.6500, 1.1, 1.5, 1.8
1411812288.09640, 1411812285.00, 41.177980, -8.598427, 134.7, 0.057, 167.7900, 1.1, 1.5, 1.8
1411812288.67895, 1411812286.00, 41.177980, -8.598427, 134.6, 0.067, 184.1800, 1.1, 1.5, 1.8
1411812289.68691, 1411812287.00, 41.177982, -8.598427, 134.5, 0.062, 179.1800, 1.1, 1.5, 1.8
1411812290.74198, 1411812288.00, 41.177982, -8.598427, 134.4, 0.062, 192.9900, 1.1, 1.5, 1.8
1411812291.68609, 1411812289.00, 41.177982, -8.598427, 134.3, 0.062, 189.5600, 1.1, 1.5, 1.8
1411812293.72208, 1411812291.00, 41.177983, -8.598427, 134.2, 0.057, 177.8300, 1.1, 1.5, 1.8
1411812294.72353, 1411812292.00, 41.177983, -8.598427, 134.2, 0.057, 171.7100, 1.1, 1.5, 1.8
1411812295.67887, 1411812293.00, 41.177983, -8.598427, 134.2, 0.051, 182.4400, 1.1, 1.5, 1.8
1411812296.72985, 1411812294.00, 41.177985, -8.598427, 134.2, 0.062, 174.8900, 1.1, 1.5, 1.8
1411812298.68570, 1411812295.00, 41.177985, -8.598425, 134.3, 0.057, 173.8700, 1.1, 1.5, 1.8
1411812299.68828, 1411812297.00, 41.177985, -8.598425, 134.3, 0.062, 173.6500, 1.1, 1.5, 1.8
1411812300.72485, 1411812298.00, 41.177985, -8.598425, 134.4, 0.067, 179.5100, 1.1, 1.5, 1.8
1411812301.71390, 1411812299.00, 41.177985, -8.598425, 134.6, 0.062, 175.8200, 1.1, 1.5, 1.8
1411812303.71877, 1411812301.00, 41.177987, -8.598423, 134.8, 0.067, 171.9300, 1.1, 1.5, 1.8
1411812304.73577, 1411812302.00, 41.177987, -8.598423, 134.9, 0.062, 189.9600, 1.1, 1.5, 1.8
1411812305.72705, 1411812303.00, 41.177987, -8.598423, 135.0, 0.067, 189.8400, 1.1, 1.5, 1.8
1411812306.71236, 1411812304.00, 41.177987, -8.598423, 135.1, 0.067, 190.3300, 1.1, 1.5, 1.8
1411812308.71745, 1411812306.00, 41.177987, -8.598423, 135.3, 0.062, 161.0500, 1.1, 1.5, 1.8
1411812309.68030, 1411812307.00, 41.177987, -8.598423, 135.4, 0.072, 164.9800, 1.1, 1.5, 1.8
1411812310.72574, 1411812308.00, 41.177987, -8.598423, 135.5, 0.067, 163.2700, 1.1, 1.5, 1.8
1411812311.73387, 1411812309.00, 41.177987, -8.598422, 135.7, 0.072, 163.6800, 1.1, 1.5, 1.8
1411812313.72008, 1411812311.00, 41.177987, -8.598422, 135.8, 0.082, 174.8200, 1.1, 1.5, 1.8
1411812314.67741, 1411812312.00, 41.177987, -8.598422, 135.9, 0.087, 177.6200, 1.1, 1.5, 1.8
1411812315.71383, 1411812313.00, 41.177987, -8.598420, 136.0, 0.093, 178.5400, 1.1, 1.5, 1.8
1411812316.72343, 1411812314.00, 41.177987, -8.598420, 136.1, 0.072, 174.4800, 1.1, 1.5, 1.8
1411812318.10178, 1411812315.00, 41.177987, -8.598420, 136.1, 0.057, 172.8700, 1.1, 1.5, 1.8
1411812318.71090, 1411812316.00, 41.177988, -8.598420, 136.1, 0.067, 164.7800, 1.1, 1.5, 1.8
1411812319.71342, 1411812317.00, 41.177988, -8.598418, 136.2, 0.067, 170.9600, 1.1, 1.5, 1.8
1411812320.72901, 1411812318.00, 41.177988, -8.598418, 136.4, 0.067, 171.8900, 1.1, 1.5, 1.8
1411812321.69707, 1411812319.00, 41.177988, -8.598418, 136.5, 0.062, 172.1600, 1.1, 1.5, 1.8
1411812323.70930, 1411812321.00, 41.177988, -8.598417, 136.7, 0.072, 173.8700, 1.1, 1.5, 1.8
1411812324.68073, 1411812322.00, 41.177988, -8.598415, 136.9, 0.072, 172.5100, 1.1, 1.5, 1.8
1411812325.70943, 1411812323.00, 41.177988, -8.598415, 136.9, 0.057, 170.3000, 1.1, 1.5, 1.8
1411812326.68577, 1411812324.00, 41.177988, -8.598415, 137.0, 0.072, 161.6600, 1.1, 1.5, 1.8
1411812328.77890, 1411812326.00, 41.177990, -8.598413, 136.9, 0.067, 183.4200, 1.1, 1.5, 1.8
1411812329.73994, 1411812327.00, 41.177990, -8.598413, 136.7, 0.062, 171.4900, 1.1, 1.5, 1.8
1411812330.70257, 1411812328.00, 41.177990, -8.598413, 136.5, 0.062, 171.9900, 1.1, 1.5, 1.8
1411812331.66886, 1411812329.00, 41.177992, -8.598413, 136.3, 0.057, 167.7800, 1.1, 1.5, 1.8
1411812333.68664, 1411812330.00, 41.177992, -8.598413, 135.9, 0.057, 164.4700, 1.1, 1.5, 1.8
